scene,camera,profile,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,guard_risky_gaussians,guard_repaired_gaussians,guard_dropped_gaussians,guard_quantized_non_psd_before,guard_final_non_psd,guard_raw_kvp,guard_final_kvp
bicycle,1,wide_control,-0.0158576965332031,-0.0002443194389343,-0.0003640949726104,1485,0,0,2,2,1128731,1128731
bicycle,1,eigen_floor,-0.0315666198730468,-0.0007644295692443,-0.0005903840065002,1485,1485,0,435,0,1128731,1128799
bicycle,1,integer_pd,-0.0312767028808593,-0.0007794499397277,-0.0005780458450317,1485,435,0,435,0,1128731,1128991
bicycle,1,opacity_prune,-0.3260555267333984,-0.005517303943634,-0.0012800097465515,1485,0,1485,435,0,1128731,1122145
bicycle,1,no_guard,-0.0412139892578125,-0.0009101629257202,-0.0006236732006072,1485,0,0,435,435,1128731,1128731
bicycle,2,wide_control,-0.015115737915039,-0.0004567503929138,-0.0003211498260498,2202,0,0,3,3,1010691,1010691
bicycle,2,eigen_floor,-0.0614395141601562,-0.0008341073989868,-0.0003829598426818,2202,2202,0,616,0,1010691,1007264
bicycle,2,integer_pd,-0.0559310913085937,-0.0007707476615905,-0.0003847479820251,2202,616,0,616,0,1010691,1007360
bicycle,2,opacity_prune,-0.1134986877441406,-0.0014443397521972,-0.0004458129405975,2202,0,2202,616,0,1010691,1005678
bicycle,2,no_guard,0.03668212890625,-0.0013364553451538,0.0023934841156005,2202,0,0,616,616,1010691,1010691
bicycle,3,wide_control,-0.0110130310058593,-0.000359833240509,-0.0005539059638977,1750,0,0,4,4,1045093,1045093
bicycle,3,eigen_floor,-0.025033950805664,-0.0005781054496765,-0.0003764927387237,1750,1750,0,532,0,1045093,1044806
bicycle,3,integer_pd,-0.0247421264648437,-0.0005760788917541,-0.0003806352615356,1750,532,0,532,0,1045093,1044905
bicycle,3,opacity_prune,-0.0989055633544921,-0.0008968710899353,-0.0004711151123046,1750,0,1750,532,0,1045093,1042838
bicycle,3,no_guard,-0.0882720947265625,-0.0011911988258361,-0.0002869665622711,1750,0,0,532,532,1045093,1045093
bicycle,4,wide_control,-0.0243701934814453,-0.0003496408462524,-0.0004461407661437,1941,0,0,3,3,936091,936091
bicycle,4,eigen_floor,-0.0221424102783203,-0.0003482699394226,-0.0003533065319061,1941,1941,0,532,0,936091,935604
bicycle,4,integer_pd,-0.021432876586914,-0.000353455543518,-0.0003475248813629,1941,532,0,532,0,936091,935746
bicycle,4,opacity_prune,-0.0599632263183593,-0.0007789731025695,-0.0004320442676544,1941,0,1941,532,0,936091,934438
bicycle,4,no_guard,0.0081691741943359,-0.0016438364982604,0.0001617670059204,1941,0,0,532,532,936091,936091
bicycle,5,wide_control,-0.0256824493408203,-0.0005056858062744,-0.0001932382583618,1738,0,0,2,2,904558,904558
bicycle,5,eigen_floor,0.0023765563964843,-0.0001925826072692,-0.0001015961170196,1738,1738,0,423,0,904558,904240
bicycle,5,integer_pd,-0.0956382751464843,-0.00077486038208,5.072355270385742e-05,1738,423,0,423,0,904558,906586
bicycle,5,opacity_prune,0.0023765563964843,-0.0001925826072692,-0.0001015961170196,1738,0,1738,423,0,904558,904240
bicycle,5,no_guard,0.0012016296386718,-0.0001749396324157,-0.0001159608364105,1738,0,0,423,423,904558,904558
bicycle,6,wide_control,-0.0220623016357421,-0.0003845691680908,-0.0002571642398834,1654,0,0,4,4,1005808,1005808
bicycle,6,eigen_floor,-0.0223770141601562,-0.0006774067878723,-6.639957427978516e-05,1654,1654,0,545,0,1005808,1006240
bicycle,6,integer_pd,-0.0223770141601562,-0.0006774067878723,-6.639957427978516e-05,1654,545,0,545,0,1005808,1006240
bicycle,6,opacity_prune,-0.0243206024169921,-0.000575840473175,-0.0001647174358367,1654,0,1654,545,0,1005808,1005028
