scene,scene_label,profile,cameras,mean_delta_psnr,worst_delta_psnr,mean_delta_ssim,worst_delta_ssim,mean_delta_lpips,worst_delta_lpips,risky_gaussians,repaired_gaussians,dropped_gaussians,quantized_non_psd_before,final_non_psd,raw_kvp,final_kvp,kvp_reduction,kvp_reduction_ratio,risky_accepted_pairs,risky_visibility_sum,reported_saturations,reported_underflows
lego,Lego,no_guard,199,-0.0094654619993276,-0.0294723510742187,-0.0001010822890391,-0.0001894831657409,-1.7572269218051854e-05,0.000156283378601,0,0,0,0,0,20899292,20899292,0,0.0,0,0.0,663960071,34773595
lego,Lego,opacity_prune,199,-0.0094654619993276,-0.0294723510742187,-0.0001010822890391,-0.0001894831657409,-1.7563901354919127e-05,0.000156283378601,0,0,0,0,0,20899292,20899337,-45,-2.1531829882084045e-06,0,0.0,663958921,33562238
lego,Lego,integer_pd,199,-0.0094654619993276,-0.0294723510742187,-0.0001010822890391,-0.0001894831657409,-1.7563901354919127e-05,0.000156283378601,0,0,0,0,0,20899292,20899337,-45,-2.1531829882084045e-06,0,0.0,663958921,33562238
lego,Lego,eigen_floor,199,-0.0094654619993276,-0.0294723510742187,-0.0001010822890391,-0.0001894831657409,-1.7563901354919127e-05,0.000156283378601,0,0,0,0,0,20899292,20899337,-45,-2.1531829882084045e-06,0,0.0,663958921,33562238
lego,Lego,wide_control,199,0.00587308107309,-0.0052757263183593,-5.653455628821598e-06,-6.109476089477539e-05,-8.074802594568262e-05,0.0001089312136173,0,0,0,0,0,20899292,20899292,0,0.0,0,0.0,663960071,1107730
hotdog,Hotdog,no_guard,199,-0.0171221824147593,-0.0490188598632812,-4.830222633016769e-05,-0.0001366138458251,-0.0001120239908072,0.000127013772726,0,0,0,0,0,18451941,18451941,0,0.0,0,0.0,771233101,26768179
hotdog,Hotdog,opacity_prune,199,-0.0171221728300928,-0.0490188598632812,-4.830282537182372e-05,-0.0001366138458251,-0.0001120245711288,0.000127013772726,0,0,0,0,0,18451941,18452071,-130,-7.045329269153852e-06,0,0.0,771233980,25350174
hotdog,Hotdog,integer_pd,199,-0.0171221728300928,-0.0490188598632812,-4.830282537182372e-05,-0.0001366138458251,-0.0001120245711288,0.000127013772726,0,0,0,0,0,18451941,18452071,-130,-7.045329269153852e-06,0,0.0,771233980,25350174
hotdog,Hotdog,eigen_floor,199,-0.0171221728300928,-0.0490188598632812,-4.830282537182372e-05,-0.0001366138458251,-0.0001120245711288,0.000127013772726,0,0,0,0,0,18451941,18452071,-130,-7.045329269153852e-06,0,0.0,771233980,25350174
hotdog,Hotdog,wide_control,199,-0.0017582783147917,-0.0189323425292968,-4.30111909032467e-06,-6.943941116333008e-05,-0.0001690881841596,8.338689804077148e-05,0,0,0,0,0,18451941,18451941,0,0.0,0,0.0,771233101,1438041
tt107k,T&T-107k,no_guard,37,-0.8409446510108741,-12.99972152709961,-0.0137438661343342,-0.2414255738258361,0.0082082406089112,0.1837101876735687,6707,0,0,1824,1824,15098005,15098005,0,0.0,11983375,962087.6657242338,633319667,32107760
tt107k,T&T-107k,opacity_prune,37,-0.3089748331018396,-2.8426942825317383,-0.0020684696532584,-0.040252685546875,-0.0006022735221965,0.0037312805652618,6707,0,6707,1824,0,15098005,15030977,67028,0.0044395269441227,0,0.0,630428627,15834687
tt107k,T&T-107k,integer_pd,37,-0.0953955263704866,-1.1633014678955078,-0.0005812725505313,-0.016497790813446,-0.0006390491852889,0.0012685060501098,6707,1824,0,1824,0,15098005,15097099,906,6.000792819978533e-05,13368251,359826.682055046,632703176,16036974
tt107k,T&T-107k,eigen_floor,37,-0.0986098469914616,-1.7731142044067385,-0.0002532883270366,-0.0205127894878387,-0.0006961677525494,0.0010127425193786,6707,6707,0,1824,0,15098005,15074029,23976,0.0015880243780552,8949889,240740.663615337,632507915,15883645
tt107k,T&T-107k,wide_control,37,-0.0095123600315403,-0.0693321228027343,-0.0002145187274829,-0.0007160305976867,-0.0009345545156581,-0.0003310739994049,6707,0,0,9,9,15098005,15098005,0,0.0,14498427,418753.821082028,633319667,1342348
truck,Truck,no_guard,31,-0.3222973115982548,-2.644718170166016,-0.0024419984509868,-0.0125888586044311,0.0006786556013168,0.0068497061729431,9518,0,0,2359,2359,16734881,16734881,0,0.0,11970433,313810.201197778,594865934,30629676
truck,Truck,opacity_prune,31,-0.2418264573620211,-1.894439697265625,-0.0014757206363062,-0.0084778666496276,-0.0002121944581308,0.0032619386911392,9518,0,9518,2359,0,16734881,16676072,58809,0.0035141570471878,0,0.0,591838597,18231361
truck,Truck,integer_pd,31,-0.2921410222207346,-2.865377426147461,-0.0019729598875968,-0.0129250884056091,0.000245877331303,0.0048853009939193,9518,2359,0,2359,0,16734881,16730694,4187,0.0002501959828695,10917368,242444.20221942497,594033544,18220850
truck,Truck,eigen_floor,31,-0.1839863561814831,-1.87934684753418,-0.0012834110567646,-0.0094191431999206,-7.644151487658101e-05,0.0032631754875183,9518,9518,0,2359,0,16734881,16715827,19054,0.001138579951659,7918222,116713.46520417002,593819500,18228705
truck,Truck,wide_control,31,-0.0097415677962764,-0.03643798828125,-0.0001791254166633,-0.0003800988197326,-0.0006629877513454,-0.0002259463071823,9518,0,0,5,5,16734881,16734881,0,0.0,14237148,193175.11868545605,594865934,512480
drjohnson,DrJohnson,no_guard,32,-0.3892792463302612,-5.230201721191406,-0.0023251511156558,-0.0225802063941955,0.0012243785895407,0.0196775496006011,21783,0,0,4489,4489,15054889,15054889,0,0.0,21309922,811849.8304204168,791529703,68805839
drjohnson,DrJohnson,opacity_prune,32,-0.007409393787384,-0.2060470581054687,-0.0003128591924905,-0.0099397301673889,-0.0009197918698191,-9.673833847045898e-05,21783,0,21783,4489,0,15054889,14955225,99664,0.0066200421670329,0,0.0,785810571,15655286
drjohnson,DrJohnson,integer_pd,32,-0.0637488365173339,-1.25274658203125,-0.000250993296504,-0.0013966560363769,-0.0006823926232755,0.0018697381019592,21783,4489,0,4489,0,15054889,15049145,5744,0.0003815371870227,20048478,365679.00758357,789991236,15661215
drjohnson,DrJohnson,eigen_floor,32,-0.0140964984893798,-0.177896499633789,-8.938834071159363e-05,-0.001101791858673,-0.0008098958060145,-9.208917617797852e-05,21783,21783,0,4489,0,15054889,15027161,27728,0.0018417937189706,15444956,249379.749270666,789773142,15662549
drjohnson,DrJohnson,wide_control,32,-0.0002363324165344,-0.0154895782470703,-0.0001606997102499,-0.0003947615623474,-0.0008412511087954,-0.0001828074455261,21783,0,0,2,2,15054889,15054889,0,0.0,25218591,388217.813853158,791529703,1115707
playroom,Playroom,no_guard,28,-0.7441325528281075,-10.874061584472656,-0.0040840719427381,-0.0607749223709106,0.0029673086745398,0.059404045343399,31880,0,0,9294,9294,10367172,10367172,0,0.0,5753288,770888.6156221202,600668589,35649256
playroom,Playroom,opacity_prune,28,-0.0037189892360142,-0.1404075622558593,-0.0006802145923886,-0.0106520056724548,-0.0010725430079868,0.0003942549228668,31880,0,31880,9294,0,10367172,10342005,25167,0.0024275665533474,0,0.0,599962930,10594242
playroom,Playroom,integer_pd,28,-0.1256922313145228,-1.1960086822509766,-0.0009316504001617,-0.0057123899459838,-0.0009360505001885,0.0020742565393447,31880,9294,0,9294,0,10367172,10374883,-7711,-0.0007437901097811,6716882,167176.479344262,600527257,10592261
playroom,Playroom,eigen_floor,28,-0.0141792978559221,-0.1404075622558593,-0.0004918724298477,-0.0031718611717224,-0.0010881141892501,0.0001289546489715,31880,31880,0,9294,0,10367172,10356671,10501,0.0010129088241229,2841010,42113.365448526994,600401795,10593656
playroom,Playroom,wide_control,28,0.0082675388881138,-0.0307731628417968,-0.0001749651772635,-0.0005895495414733,-0.0012554771133831,-0.0005917400121688,31880,0,0,13,13,10367172,10367172,0,0.0,7549192,98580.867351741,600668589,727509
bicycle,Bicycle,no_guard,24,-0.0340087413787841,-0.1383342742919922,-0.0006796543796857,-0.0016438364982604,-1.3122955958048502e-05,0.0023934841156005,46357,0,0,13081,13081,21849840,21849840,0,0.0,9007393,228075.16698561097,753527216,64968135
bicycle,Bicycle,opacity_prune,24,-0.0541961193084716,-0.3260555267333984,-0.0008791933457056,-0.005517303943634,-0.0002371482551097,0.0001255571842193,46357,0,46357,13081,0,21849840,21792873,56967,0.0026072044463483,0,0.0,750953003,32805547
bicycle,Bicycle,integer_pd,24,-0.0348466237386067,-0.2384891510009765,-0.0006563315788904,-0.0019075870513916,-0.0001509301364421,0.0002603828907012,46357,13081,0,13081,0,21849840,21840203,9637,0.0004410558612786,10240007,173976.62537572597,753091944,32805637
bicycle,Bicycle,eigen_floor,24,-0.0304951667785644,-0.158121109008789,-0.0005446275075276,-0.0009698271751403,-0.0001681745052337,0.0001202523708343,46357,46357,0,13081,0,21849840,21826838,23002,0.0010527308209121,7476284,116067.38811798904,752985418,32807035
bicycle,Bicycle,wide_control,24,-0.0149107774098714,-0.0284595489501953,-0.000278723736604,-0.0005056858062744,-0.0003350762029488,-0.000101625919342,46357,0,0,70,70,21849840,21849840,0,0.0,12556736,184450.4879627209,753527216,1398969
garden,Garden,no_guard,23,-0.466283134792162,-4.623439788818359,-0.0021974703539972,-0.01518315076828,0.000753527102263,0.0071708410978317,21283,0,0,5923,5923,23236287,23236287,0,0.0,12181360,818108.770510158,785449368,65465295
garden,Garden,opacity_prune,23,0.0159203073252802,-0.1420135498046875,-0.0006254781847414,-0.0012720823287963,-7.623758005059284e-05,0.0002908408641815,21283,0,21283,5923,0,23236287,23172130,64157,0.002761069356735,0,0.0,781802734,34509246
garden,Garden,integer_pd,23,-0.0478782653808593,-1.0726432800292969,-0.0007102515386498,-0.0019116997718811,-5.218321862428085e-05,0.0004486888647079,21283,5923,0,5923,0,23236287,23206789,29498,0.0012694799302487,7398972,133643.827474219,783263663,34669000
garden,Garden,eigen_floor,23,0.0129935223123301,-0.0678520202636718,-0.0006211503692295,-0.0012720823287963,-7.635095845098081e-05,0.0002908408641815,21283,21283,0,5923,0,23236287,23190666,45621,0.0019633515457955,3995714,67906.092316825,783001385,34670274
garden,Garden,wide_control,23,-0.0498448247494904,-0.9126091003417968,-0.0003191699152407,-0.0016179084777832,-0.0004530885945195,-0.0002101957798004,21283,0,0,32,32,23236287,23236287,0,0.0,11144095,206381.141939886,784156440,5565514
bicycle,Bicycle,conic21,24,-0.010663509368896443,-0.0394859313964843,-0.00047500431537623745,-0.0007871389389038,-8.987014492351018e-05,0.0003861784934997,24703,24703,0,6520,0,21849840,21836949,12891,0.0005899814369350073,1363141,16837.460544902002,753585695,32824640
drjohnson,DrJohnson,conic21,32,-0.012908339500427222,-0.1603507995605468,-0.000152278691530199,-0.0013799667358398,-0.0007628933526575062,-0.0001174956560134,8634,8634,0,1713,0,15054889,15035455,19434,0.0012908763392410266,7366433,133288.628453868,790433512,15664651
garden,Garden,conic21,23,0.0013344806173573587,-0.0615692138671875,-0.0006411853043928869,-0.0012409090995788,-6.724958834439666e-05,0.0002821236848831,11008,11008,0,2907,0,23236287,23199697,36590,0.001574692204481723,3328108,56965.304680924,783514547,34653100
hotdog,Hotdog,conic21,199,-0.017146326189664118,-0.0490341186523437,-4.836123193327974e-05,-0.0001358389854431,-0.00011191922403756606,0.0001341514289379,0,0,0,0,0,18451941,18452009,-68,-3.685249156172784e-06,0,0.0,771232925,25349554
lego,Lego,conic21,199,-0.00945959618343178,-0.0295562744140625,-0.00010109157418482996,-0.0001893639564514,-1.6946982049460296e-05,0.000153861939907,0,0,0,0,0,20899292,20899318,-26,-1.244061282075967e-06,0,0.0,663960331,33562832
playroom,Playroom,conic21,28,-0.0017924308776855415,-0.0653038024902343,-0.0003904253244399604,-0.002795934677124,-0.001134039568049525,0.0001018345355987,16407,16407,0,4488,0,10367172,10359339,7833,0.0007555580248885617,1077964,27194.235423921,600399244,10598203
truck,Truck,conic21,31,-0.04189312842584422,-0.164285659790039,-0.0005307716708029022,-0.002146303653717,-0.0003914410068142355,0.0001836419105529,4939,4939,0,1063,0,16734881,16723635,11246,0.0006720095589565292,4065486,50412.42125020499,594095190,18237775
tt107k,Train,conic21,37,-0.011633924535802878,-0.8864984512329102,0.000419271958840885,-0.0090493559837341,-0.0007527289358344758,-7.867813110351562e-06,3595,3595,0,889,0,15098005,15096775,1230,8.14677170924238e-05,5115833,164016.45094369003,632976034,15974871
