scene,allocator,cam,camera_name,continuous_w16_no_t_cycles,continuous_w16_tile_tstop_cycles,continuous_w16_no_t_fps,continuous_w16_tile_tstop_fps,t_speedup,n_kvp_raw,n_kvp_retained,n_kvp_tstopped,t_stopped_fraction,producer_cycles_raw,producer_cycles_retained,no_t_core_cycles,with_t_core_cycles,no_t_core_imbalance,with_t_core_imbalance
bicycle,atae_snugbox,0,_DSC8679,4277718,4142692,93.5078001869221,96.55557304284267,1.0325937820142073,1056821,1023065,33756,0.03194107611411961,6846039,6534554,"[4277592, 4277196, 4277718, 4277630]","[4142692, 4142172, 4142568, 4142608]",0.00012203292831804493,0.00012552775973986787
bicycle,atae_snugbox,1,_DSC8687,4565674,4399000,87.61028492178811,90.92975676290065,1.0378890656967492,1128731,1087062,41669,0.036916678996147,6711517,6335993,"[4565592, 4564956, 4564474, 4565674]","[4397800, 4398912, 4399000, 4398280]",0.00026285964127544756,0.00027282040369235136
bicycle,atae_snugbox,2,_DSC8695,4093316,3948122,97.7202835060865,101.31399181686888,1.036775459319646,1010691,974393,36298,0.03591404296664361,5896424,5612433,"[4092598, 4093082, 4093316, 4093060]","[3947404, 3948122, 3947866, 3947896]",0.0001754208512357886,0.00018187243497807146
bicycle,atae_snugbox,3,_DSC8703,4230806,4129828,94.54463286664527,96.85633396838803,1.0244508972286497,1045093,1019848,25245,0.024155744991115623,7193162,6996782,"[4230558, 4230406, 4230718, 4230806]","[4129828, 4129740, 4129424, 4129576]",9.454874484177504e-05,9.78293033633424e-05
bicycle,atae_snugbox,4,_DSC8711,3795032,3665650,105.40095577586698,109.12116541404662,1.0352957865590005,936091,903746,32345,0.0345532645864558,5593947,5372270,"[3795032, 3794496, 3794726, 3794202]","[3665344, 3664824, 3665650, 3665118]",0.00021873107515019973,0.00022536078187640953
bicycle,atae_snugbox,5,_DSC8719,3669012,3579746,109.02117518285577,111.73977148099334,1.0249364061025559,904558,882242,22316,0.024670612608588945,5209964,5031426,"[3669012, 3668168, 3668504, 3668244]","[3579244, 3578980, 3578902, 3579746]",0.0002300679136492969,0.00023580569833969318
bicycle,atae_snugbox,6,_DSC8727,4073948,3934928,98.18485655683381,101.65370243114995,1.035329744279946,1005808,971053,34755,0.0345543085757918,6769474,6448333,"[4073948, 4073342, 4073602, 4073036]","[3934014, 3934584, 3934928, 3934322]",0.00022388708235362276,0.00023230622128260484
bicycle,atae_snugbox,7,_DSC8735,3867178,3727450,103.43459752822342,107.31196930877678,1.0374862171189418,954119,919187,34932,0.03661178532237593,5741915,5475749,"[3866056, 3867178, 3866522, 3867148]","[3727450, 3726326, 3726792, 3727424]",0.00029016796121576755,0.000301583204498634
bicycle,atae_snugbox,8,_DSC8744,3490252,3395098,114.60490531915747,117.81692310501788,1.0280268787528373,859907,836119,23788,0.02766345662961227,5060219,4929153,"[3489736, 3490252, 3489784, 3489740]","[3394592, 3394582, 3394632, 3395098]",0.0001478561714764814,0.0001520004854589148
bicycle,atae_snugbox,9,_DSC8752,3828660,3764512,104.47519497683263,106.25547215681608,1.0170401900697885,944467,928431,16036,0.016978888621836444,5669316,5571547,"[3828660, 3827768, 3828404, 3827640]","[3764262, 3764512, 3763498, 3763624]",0.0002664494668137189,0.00026939612228989894
bicycle,atae_snugbox,10,_DSC8760,3860846,3803668,103.60423596279158,105.16164922911253,1.0150323319490555,952605,938310,14295,0.015006219786795156,5965180,5867718,"[3860846, 3860214, 3860774, 3860846]","[3803668, 3803034, 3803594, 3803664]",0.00016370215532537097,0.0001666890145629409
bicycle,atae_snugbox,11,_DSC8768,3490932,3396166,114.58258138514299,117.77987295085104,1.0279038186001508,860113,836421,23692,0.02754521789578811,4941702,4807038,"[3490608, 3490636, 3490932, 3490632]","[3395866, 3396166, 3395868, 3395836]",9.281800623484904e-05,9.717503343704559e-05
bicycle,atae_snugbox,12,_DSC8776,3722682,3618286,107.44941415893165,110.54958065780318,1.02885233505588,917955,891857,26098,0.02843058755603488,5526096,5325315,"[3722682, 3721662, 3722320, 3721616]","[3617932, 3617228, 3618286, 3617266]",0.00028639977216978726,0.00029245278324936604
bicycle,atae_snugbox,13,_DSC8784,3669938,3560240,108.99366692298344,112.35197627126261,1.0308119677325125,904862,877438,27424,0.03030738388837193,5319766,5113447,"[3669052, 3669892, 3669910, 3669938]","[3560240, 3560214, 3560196, 3559358]",0.00024143676128117355,0.0002477526698018709
bicycle,atae_snugbox,14,_DSC8792,3298430,3213682,121.26981624591093,124.46782226741787,1.0263709975037978,811969,790782,21187,0.02609336070712059,4583738,4493198,"[3297802, 3298388, 3297884, 3298430]","[3213640, 3213056, 3213682, 3213134]",0.00019041116076220254,0.00019481057006054064
