allocator,scene,camera_count,mean_no_t_cycles,mean_with_t_cycles,no_t_fps,with_t_fps,t_speedup,n_kvp_raw,n_kvp_retained,n_kvp_tstopped,t_stopped_fraction
atae_snugbox,bicycle,25,3715693.04,3627334.72,107.65151902860092,110.27380456358877,1.0243590202781176,22906661,22354431,552230,0.024107834834592435
atae_snugbox,drjohnson,33,1910766.303030303,1691279.6363636365,209.3400953144485,236.50731162353884,1.1297755036763628,15472568,13661542,1811026,0.11704753858570859
atae_snugbox,garden,24,4099073.1666666665,3560259.6666666665,97.58303492915614,112.35135564550114,1.1513410679127432,24298611,21065750,3232861,0.13304715236603443
atae_snugbox,hotdog,200,377232.87,343556.16,1060.3529856769906,1164.292906289324,1.0980238864004068,18551708,16868350,1683358,0.0907387071853438
atae_snugbox,lego,200,427155.99,402374.68,936.4260583118594,994.098336406257,1.0615876476124193,21008827,19769779,1239048,0.0589774955070076
atae_snugbox,playroom,29,1526226.3448275863,1380639.7241379311,262.08432409492116,289.72076712464525,1.1054486685732292,10837927,9783079,1054848,0.0973293139915041
atae_snugbox,train,38,1653392.7894736843,1061212.2631578948,241.92678385111978,376.92741960001746,1.558022694303977,15547266,9923024,5624242,0.3617511914956623
atae_snugbox,truck,32,2178882.5625,1677962.6875,183.58033924556685,238.3843234297187,1.2985286137359358,17296034,13289581,4006453,0.23163998174379166
baseline_aabb,bicycle,25,11827981.12,11559644.0,33.818112824312664,34.60314175765274,1.0232132685055007,73603132,71925905,1677227,0.022787440621412688
baseline_aabb,drjohnson,33,6055090.0,5497954.242424242,66.0601246224251,72.75433413276751,1.101335102659948,49655855,45056507,4599348,0.09262448506827645
baseline_aabb,garden,24,9053237.75,7947419.75,44.18308797866266,50.33080076083813,1.1391417635893712,54019912,47385108,6634804,0.12282145146774767
baseline_aabb,hotdog,200,1038264.55,954381.97,385.2582658244471,419.11940142792093,1.0878920417995743,51361592,47167429,4194163,0.0816595209899257
baseline_aabb,lego,200,997395.5,944519.68,401.0445204535212,423.49567560095727,1.0559817027846365,49333871,46690070,2643801,0.053589976752483094
baseline_aabb,playroom,29,4356092.620689655,3964431.2413793104,91.82541209068052,100.89719701150156,1.0987938383751807,31347309,28509020,2838289,0.09054330628507858
baseline_aabb,train,38,4595399.578947368,3174540.5263157897,87.04357327978535,126.0024865595966,1.447579434205729,43482309,29988846,13493463,0.31032075596537434
baseline_aabb,truck,32,5553792.9375,4354258.8125,72.0228507798955,91.86408461796046,1.275485260902828,44284955,34692299,9592656,0.21661207513928826
