scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
bicycle,bicycle,1,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.031566619873046875,-0.0007644295692443848,-0.0005903840065002441,18.794029235839844,18.82559585571289,0.5192186236381531,0.5199830532073975,0.36361706256866455,0.3642074465751648,43.67913818359375,0,37304625,0,0,1792484,,,
bicycle,bicycle,2,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.06143951416015625,-0.0008341073989868164,-0.00038295984268188477,19.519668579101562,19.58110809326172,0.5450567603111267,0.5458908677101135,0.40069225430488586,0.40107521414756775,46.945213317871094,0,35714980,0,0,1704836,,,
bicycle,bicycle,3,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.025033950805664062,-0.0005781054496765137,-0.0003764927387237549,20.80483055114746,20.829864501953125,0.6353817582130432,0.6359598636627197,0.342486172914505,0.34286266565322876,47.864227294921875,0,36473992,0,0,1776092,,,
bicycle,bicycle,4,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.022142410278320312,-0.0003482699394226074,-0.00035330653190612793,21.650388717651367,21.672531127929688,0.6567533016204834,0.657101571559906,0.3507831394672394,0.3511364459991455,50.224891662597656,0,32571745,0,0,1337006,,,
bicycle,bicycle,5,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.002376556396484375,-0.0001925826072692871,-0.00010159611701965332,22.46651840209961,22.464141845703125,0.6751168966293335,0.6753094792366028,0.34486567974090576,0.3449672758579254,50.74266052246094,0,31017050,0,0,1500176,,,
bicycle,bicycle,6,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.02237701416015625,-0.0006774067878723145,-6.639957427978516e-05,24.68312644958496,24.705503463745117,0.7329724431037903,0.7336498498916626,0.2871721386909485,0.28723853826522827,49.86675262451172,0,34917155,0,0,1834280,,,
bicycle,bicycle,7,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.15812110900878906,-0.0006915926933288574,-0.0004507899284362793,24.896244049072266,25.054365158081055,0.7278646230697632,0.728556215763092,0.2900233268737793,0.2904741168022156,45.757720947265625,0,32189653,0,0,1452480,,,
bicycle,bicycle,8,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.041683197021484375,-0.0006931424140930176,-0.0005518496036529541,24.511638641357422,24.553321838378906,0.6711187362670898,0.6718118786811829,0.361131876707077,0.36168372631073,42.84038543701172,0,32519977,0,0,1342731,,,
bicycle,bicycle,9,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.002696990966796875,-0.00022530555725097656,-2.828240394592285e-05,25.433345794677734,25.430648803710938,0.7309685349464417,0.7311938405036926,0.31454816460609436,0.3145764470100403,47.7659912109375,0,31379461,0,0,1279564,,,
bicycle,bicycle,10,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.0226898193359375,-0.0002497434616088867,-0.00035497546195983887,24.575519561767578,24.598209381103516,0.7175393104553223,0.7177890539169312,0.31756797432899475,0.3179229497909546,49.269012451171875,0,32663951,0,0,1345322,,,
bicycle,bicycle,11,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.029712677001953125,-0.0005846023559570312,-0.00015023350715637207,23.744335174560547,23.7740478515625,0.6889776587486267,0.6895622611045837,0.3510091006755829,0.35115933418273926,49.273712158203125,0,30974759,0,0,1231808,,,
bicycle,bicycle,12,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.016351699829101562,-0.0003573298454284668,-0.00022345781326293945,26.06849479675293,26.08484649658203,0.7492938041687012,0.7496511340141296,0.29693925380706787,0.2971627116203308,49.88812255859375,0,31132072,0,0,1234270,,,
bicycle,bicycle,13,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.024881362915039062,-0.00044608116149902344,-1.2993812561035156e-05,26.639339447021484,26.664220809936523,0.7749399542808533,0.7753860354423523,0.2839028835296631,0.2839158773422241,49.880271911621094,0,30270718,0,0,1423557,,,
bicycle,bicycle,14,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.05324363708496094,-0.000538170337677002,-4.881620407104492e-05,26.369497299194336,26.422740936279297,0.7435771226882935,0.7441152930259705,0.34509700536727905,0.3451458215713501,50.628318786621094,0,31051856,0,0,1140422,,,
bicycle,bicycle,15,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.003814697265625,-0.0005547404289245605,-0.00018101930618286133,26.212453842163086,26.21626853942871,0.7517567276954651,0.7523114681243896,0.2989930510520935,0.29917407035827637,50.57664108276367,0,32073946,0,0,1498004,,,
bicycle,bicycle,16,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.022214889526367188,-0.0008453130722045898,-2.5570392608642578e-05,25.60155487060547,25.623769760131836,0.7395268678665161,0.7403721809387207,0.35116347670555115,0.3511890470981598,50.79137420654297,0,28432716,0,0,1296584,,,
bicycle,bicycle,17,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.025213241577148438,-0.00044733285903930664,-0.00010797381401062012,25.24200439453125,25.2672176361084,0.7450827956199646,0.7455301284790039,0.29156219959259033,0.29167017340660095,49.9827995300293,0,32791344,0,0,1342789,,,
bicycle,bicycle,18,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.020009994506835938,-0.0005802512168884277,4.589557647705078e-06,27.00524139404297,27.025251388549805,0.7874842286109924,0.7880644798278809,0.31286555528640747,0.31286096572875977,50.617393493652344,0,28830269,0,0,1369663,,,
bicycle,bicycle,19,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.00335693359375,-0.0005081295967102051,5.0067901611328125e-06,27.119815826416016,27.116458892822266,0.7854129672050476,0.7859210968017578,0.34616416692733765,0.3461591601371765,51.388458251953125,0,28592121,0,0,1084848,,,
bicycle,bicycle,20,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.001071929931640625,-0.0002778172492980957,1.6957521438598633e-05,26.126140594482422,26.127212524414062,0.7570136785507202,0.7572914958000183,0.31510961055755615,0.31509265303611755,50.84292221069336,0,29181239,0,0,1310502,,,
bicycle,bicycle,21,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.049022674560546875,-0.0006565451622009277,2.250075340270996e-05,26.943004608154297,26.992027282714844,0.7508038282394409,0.7514603734016418,0.358982652425766,0.3589601516723633,50.058738708496094,0,25920868,0,0,1045750,,,
bicycle,bicycle,22,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.03447723388671875,-0.0006639957427978516,0.00012025237083435059,27.178363800048828,27.212841033935547,0.784651517868042,0.7853155136108398,0.3213123381137848,0.32119208574295044,50.637428283691406,0,28716848,0,0,1222534,,,
bicycle,bicycle,23,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.04598808288574219,-0.0009698271751403809,-0.0002124011516571045,24.138479232788086,24.184467315673828,0.6616216897964478,0.6625915169715881,0.3519637882709503,0.3521761894226074,50.23106384277344,0,28702325,0,0,1158134,,,
bicycle,bicycle,24,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.02925872802734375,-0.00038623809814453125,1.4007091522216797e-05,25.425024032592773,25.454282760620117,0.7389721274375916,0.7393583655357361,0.33279949426651,0.3327854871749878,50.889312744140625,0,29561748,0,0,1083199,,,
